,cms_contentId,tot,fav,skipped
5242,145159615.0,3.0,2.0,0.0
5243,57800063.0,25.0,15.0,8.0
5244,177153103.0,1.0,1.0,0.0
5245,60018096.0,4.0,4.0,0.0
5246,171782416.0,1.0,1.0,0.0
5247,29458257.0,1.0,1.0,0.0
5248,320773690.0,254.0,138.0,96.0
5249,146291530.0,26.0,13.0,4.0
5250,56149527.0,2.0,2.0,0.0
5251,306995688.0,2.0,1.0,1.0
5252,157681960.0,142.0,114.0,10.0
5253,274764229.0,9.0,5.0,4.0
5254,526974827.0,3.0,3.0,0.0
5255,249993806.0,1.0,1.0,0.0
5256,395432085.0,2.0,2.0,0.0
5257,124217687.0,20.0,18.0,1.0
5258,29674266.0,4.0,2.0,2.0
5259,170893161.0,4.0,4.0,0.0
5260,523436495.0,5.0,1.0,2.0
5261,261573185.0,2.0,0.0,0.0
5262,252606072.0,4.0,4.0,0.0
5263,216213565.0,1.0,1.0,0.0
5264,422266126.0,4.0,3.0,1.0
